id , 3HSP Source name , BZcat name , R.A. , Dec , NVSS/FIRSTflux density(mJy) , X-ray flux d. @ 1keV (μJy) , Log(peak flux) , FOM , γ-ray counterpart , Fermi γ-ray slope , 2WHSP name
52 , "3HSPJ003908.2-222001" , "" , "00 39 08.21" , "-22 20 00.99" , "117.2" , "1.09" , "-11.9" , 0.5 , "4FGL J0039.1-2219" , "1.72" , "2WHSPJ003908.2-222000"
53 , "3HSPJ004013.1+405004" , "5BZUJ0040+4050" , "00 40 13.8" , "+40 50 03.98" , "48.2" , "1.72" , ">-11.5" , 1.26 , "4FGL J0040.3+4050" , "1.13" , "2WHSPJ004013.7+405003"
54 , "3HSPJ004040.9-232200" , "" , "00 40 40.86" , "-23 22 00.01" , "18.7" , "" , "-12" , 0.4 , "" , "" , "2WHSPJ004040.7-232200"
55 , "3HSPJ004123.0+375855" , "" , "00 41 23.03" , "+37 58 54.98" , "106.9" , "0.11" , "-12" , 0.4 , "4FGL J0041.4+3800" , "1.95" , ""
56 , "3HSPJ004141.2-160747" , "" , "00 41 41.21" , "-16 07 46.99" , "18.3" , "" , "-12.5" , 0.13 , "4FGL J0041.7-1607" , "1.64" , ""
57 , "3HSPJ004143.2+083318" , "" , "00 41 43.24" , "+08 33 17.99" , "5.1" , "0.09" , "-12.4" , 0.16 , "" , "" , "2WHSPJ004143.1+083317"
58 , "3HSPJ004147.0-470136" , "" , "00 41 47.02" , "-47 01 36.01" , "16.6" , "0.5" , ">-11.8" , 0.63 , "1BIGB_J004146.9-470136" , "1.73" , "2WHSPJ004146.9-470136"
59 , "3HSPJ004202.4-143600" , "" , "00 42 02.38" , "-14 35 59.99" , "17.6" , "0.06" , "-12.6" , 0.1 , "" , "" , "2WHSPJ004202.2-143559"
60 , "3HSPJ004208.1+364113" , "5BZBJ0042+3641" , "00 42 08.09" , "+36 41 12.98" , "12" , "0.64" , "-11.8" , 0.63 , "4FGL J0042.0+3640" , "1.98" , "2WHSPJ004208.0+364112"
61 , "3HSPJ004322.1+180846" , "" , "00 43 22.8" , "+18 08 45.99" , "20.2" , "0.18" , "-12.4" , 0.16 , "" , "" , "2WHSPJ004322.8+180845"
62 , "3HSPJ004332.5+754518" , "" , "00 43 32.53" , "+75 45 17.99" , "3" , "0.08" , "-12.2" , 0.25 , "" , "" , "2WHSPJ004332.5+754517"
63 , "3HSPJ004334.1-044300" , "" , "00 43 34.12" , "-04 43 00.01" , "29.8" , "0.47" , "-11.8" , 0.63 , "4FGL J0043.5-0442" , "1.73" , "2WHSPJ004334.0-044300"
64 , "3HSPJ004348.7-111607" , "" , "00 43 48.65" , "-11 16 06.99" , "24.9" , "0.16" , "-11.6" , 1 , "4FGL J0043.7-1116" , "1.59" , "2WHSPJ004348.6-111606"
65 , "3HSPJ004501.6+051215" , "" , "00 45 01.57" , "+05 12 15.01" , "9" , "0.17" , "-12.5" , 0.13 , "" , "" , "2WHSPJ004501.4+051215"
66 , "3HSPJ004519.3+212740" , "5BZBJ0045+2127" , "00 45 19.27" , "+21 27 39.99" , "50.2" , "1.93" , "-11.3" , 2 , "4FGL J0045.3+2128" , "1.9" , "2WHSPJ004519.2+212739"
67 , "3HSPJ004554.8-172328" , "" , "00 45 54.77" , "-17 23 27.99" , "3.8" , "0.23" , "-12.1" , 0.32 , "" , "" , "2WHSPJ004554.7-172327"
68 , "3HSPJ004603.3+401346" , "" , "00 46 03.26" , "+40 13 45.98" , "15" , "0.02" , "-12.9" , 0.05 , "" , "" , "2WHSPJ004603.1+401345"
69 , "3HSPJ004715.0-811135" , "" , "00 47 15.1" , "-81 11 35.01" , "9.4" , "0.13" , "-12.4" , 0.16 , "" , "" , "2WHSPJ004715.1-811135"
70 , "3HSPJ004752.0+544746" , "" , "00 47 52.04" , "+54 47 45.99" , "13.9" , "0.65" , "-12" , 0.4 , "4FGL J0047.9+5448" , "1.33" , ""
71 , "3HSPJ004755.2+394857" , "5BZBJ0047+3948" , "00 47 55.21" , "+39 48 56.98" , "93.2" , "0.11" , "-11.9" , 0.5 , "4FGL J0047.9+3947" , "1.88" , "2WHSPJ004755.2+394856"
72 , "3HSPJ004859.2+422351" , "" , "00 48 59.15" , "+42 23 51.0" , "4.3" , "" , "-12.1" , 0.32 , "4FGL J0049.1+4223" , "1.77" , "2WHSPJ004859.0+422351"
73 , "3HSPJ004927.8+395003" , "" , "00 49 27.83" , "+39 50 03.01" , "53.4" , "" , "-12.4" , 0.16 , "" , "" , "2WHSPJ004927.7+395003"
74 , "3HSPJ004929.9-241844" , "" , "00 49 29.93" , "-24 18 43.99" , "10" , "0.12" , "-12.4" , 0.16 , "" , "" , "2WHSPJ004929.8-241843"
75 , "3HSPJ004938.9-415137" , "" , "00 49 38.88" , "-41 51 37.0" , "58.7" , "0.19" , "-12" , 0.4 , "4FGL J0049.5-4150" , "2.15" , "2WHSPJ004938.8-415137"
76 , "3HSPJ005015.5-461811" , "" , "00 50 15.48" , "-46 18 11.01" , "29.9" , "0.06" , "-12.5" , 0.13 , "" , "" , "2WHSPJ005015.4-461811"
77 , "3HSPJ005040.9-254123" , "" , "00 50 40.93" , "-25 41 22.99" , "57.2" , "0.14" , "-12.2" , 0.25 , "" , "" , "2WHSPJ005040.9-254122"
78 , "3HSPJ005048.5-342850" , "" , "00 50 48.54" , "-34 28 50.01" , "6.3" , "0.07" , "-12.5" , 0.13 , "" , "" , "2WHSPJ005048.4-342850"
79 , "3HSPJ005116.6-624204" , "5BZBJ0051-6242" , "00 51 16.62" , "-62 42 03.99" , "43.2" , "0.54" , "-11.4" , 1.58 , "4FGL J0051.2-6242" , "1.66" , "2WHSPJ005116.6-624203"
80 , "3HSPJ005235.4-574636" , "" , "00 52 35.44" , "-57 46 36.01" , "7.8" , "0.14" , "-12.2" , 0.25 , "" , "" , "2WHSPJ005235.4-574636"
81 , "3HSPJ005347.7-664517" , "" , "00 53 47.74" , "-66 45 16.99" , "8.3" , "" , "-11.8?" , 0.63 , "" , "1.95" , ""
82 , "3HSPJ005410.1+473611" , "" , "00 54 10.06" , "+47 36 11.01" , "9.3" , "0.88" , "-12.3" , 0.2 , "" , "" , "2WHSPJ005410.0+473611"
83 , "3HSPJ005425.4-361131" , "" , "00 54 25.43" , "-36 11 30.98" , "26.2" , "0.05" , "-12.5" , 0.13 , "" , "" , "2WHSPJ005425.3-361130"
84 , "3HSPJ005446.7-245529" , "5BZBJ0054-2455" , "00 54 46.74" , "-24 55 28.99" , "24.5" , "0.48" , "-11.3" , 2 , "4FGL J0054.7-2455" , "1.78" , "2WHSPJ005446.6-245528"
85 , "3HSPJ005459.1-351917" , "" , "00 54 59.9" , "-35 19 17.0" , "13.3" , "0.1" , "-12.4" , 0.16 , "" , "" , ""
86 , "3HSPJ005542.1+450701" , "" , "00 55 42.7" , "+45 07 00.98" , "4.5" , "" , ">-12.5" , 0.13 , "4FGL J0055.7+4507" , "1.77" , ""
87 , "3HSPJ005553.6+121733" , "" , "00 55 53.58" , "+12 17 33.0" , "27.4" , "0.15" , "-12.4" , 0.16 , "" , "" , "2WHSPJ005553.5+121733"
88 , "3HSPJ005620.1-093630" , "5BZGJ0056-0936" , "00 56 20.05" , "-09 36 29.98" , "200.9" , "0.66" , "-11.6" , 1 , "4FGL J0056.3-0935" , "1.79" , "2WHSPJ005619.9-093629"
89 , "3HSPJ005758.4+632639" , "" , "00 57 58.37" , "+63 26 39.01" , "4.6" , "" , "-11.6" , 1 , "4FGL J0057.9+6326" , "1.67" , ""
90 , "3HSPJ005808.0-002417" , "" , "00 58 08.2" , "-00 24 16.99" , "3.9" , "0.21" , "-12.8" , 0.06 , "" , "" , ""
91 , "3HSPJ005813.8-142929" , "" , "00 58 13.79" , "-14 29 29.0" , "9.4" , "0.15" , "-12.4" , 0.16 , "" , "" , "2WHSPJ005813.6-142929"
92 , "3HSPJ005816.8+172313" , "5BZBJ0058+1723" , "00 58 16.78" , "+17 23 12.98" , "9.4" , "1.55" , "-12" , 0.4 , "1BIGB_J005816.6+172312" , "1.8" , "2WHSPJ005816.6+172312"
93 , "3HSPJ005916.9-015017" , "5BZGJ0059-0150" , "00 59 16.91" , "-01 50 17.01" , "18.1" , "0.35" , "-11.7" , 0.79 , "4FGL J0059.3-0152" , "1.74" , "2WHSPJ005916.9-015017"
94 , "3HSPJ005931.5-351049" , "" , "00 59 31.46" , "-35 10 49.0" , "102.9" , "0.24" , "-12" , 0.4 , "4FGL J0059.5-3512" , "2.02" , ""
95 , "3HSPJ010010.7-023451" , "" , "01 00 10.72" , "-02 34 50.98" , "11.6" , "0.14" , "-12.2" , 0.25 , "" , "" , "2WHSPJ010010.6-023450"
96 , "3HSPJ010116.3+273058" , "" , "01 01 16.26" , "+27 30 57.99" , "4.6" , "0.08" , "-12.7" , 0.08 , "" , "" , "2WHSPJ010116.2+273057"
97 , "3HSPJ010142.0-545547" , "" , "01 01 42.0" , "-54 55 46.99" , "24.2" , "" , "-12.5" , 0.13 , "4FGL J0101.7-5455" , "1.61" , ""
98 , "3HSPJ010250.9-200158" , "" , "01 02 50.93" , "-20 01 58.0" , "64.9" , "0.41" , "-12.2" , 0.25 , "4FGL J0102.7-2001" , "1.55" , "2WHSPJ010250.8-200158"
99 , "3HSPJ010325.9+533713" , "" , "01 03 25.88" , "+53 37 13.0" , "30.9" , "1.33" , "-11.8" , 0.63 , "4FGL J0103.5+5337" , "2.04" , ""
100 , "3HSPJ010326.0+152624" , "5BZGJ0103+1526" , "01 03 25.99" , "+15 26 23.99" , "225.6" , "" , "-12.2?" , 0.25 , "4FGL J0103.5+1526" , "2.41" , ""
101 , "3HSPJ010353.2+351322" , "" , "01 03 53.22" , "+35 13 22.0" , "4.1" , "0.17" , "-12.4" , 0.16 , "" , "" , "2WHSPJ010353.2+351322"
102 , "3HSPJ010501.9+503320" , "" , "01 05 01.86" , "+50 33 20.01" , "11.9" , "0.48" , "-12.1" , 0.32 , "" , "" , "2WHSPJ010501.8+503320"
103 , "3HSPJ010528.1-171222" , "" , "01 05 28.12" , "-17 12 21.99" , "7" , "0.21" , "-12.4" , 0.16 , "" , "" , "2WHSPJ010528.0-171221"
104 , "3HSPJ010547.2+393922" , "" , "01 05 47.18" , "+39 39 21.99" , "4.9" , "0.28" , "-12.3" , 0.2 , "2FGL J0105.3+3930" , "2.21" , "2WHSPJ010547.0+393921"
105 , "3HSPJ010956.6-402050" , "" , "01 09 56.57" , "-40 20 49.99" , "96" , "0.4" , "-11.9" , 0.5 , "4FGL J0110.0-4019" , "1.73" , "2WHSPJ010956.5-402049"
106 , "3HSPJ011004.1+414950" , "5BZGJ0110+4149" , "01 10 04.8" , "+41 49 50.01" , "86" , "0.89" , "-11.9" , 0.5 , "" , "" , "2WHSPJ011004.7+414950"
107 , "3HSPJ011009.7+042420" , "" , "01 10 09.72" , "+04 24 20.01" , "62.1" , "0.12" , "-12.7?" , 0.08 , "" , "" , "2WHSPJ011009.7+042420"
108 , "3HSPJ011050.0-125503" , "5BZBJ0110-1255" , "01 10 49.97" , "-12 55 03.0" , "17.5" , "0.9" , "-11.6" , 1 , "4FGL J0110.7-1254" , "1.93" , "2WHSPJ011049.9-125503"
109 , "3HSPJ011130.2+053627" , "5BZBJ0111+0536" , "01 11 30.18" , "+05 36 26.99" , "16.7" , "0.83" , "-11.9?" , 0.5 , "4FGL J0111.5+0534" , "1.92" , "2WHSPJ011130.1+053626"
110 , "3HSPJ011231.4-750617" , "" , "01 12 31.39" , "-75 06 16.99" , "18.4" , "" , "-12.2" , 0.25 , "4FGL J0112.8-7506" , "2.17" , "2WHSPJ011231.3-750616"
111 , "3HSPJ011232.8-320141" , "5BZBJ0112-3201" , "01 12 32.76" , "-32 01 41.01" , "4.6" , "0.2" , "-12.3" , 0.2 , "" , "" , "2WHSPJ011232.6-320141"
112 , "3HSPJ011314.3-190807" , "" , "01 13 14.32" , "-19 08 07.0" , "23.4" , "0.03" , "-12.5" , 0.13 , "" , "" , "2WHSPJ011314.2-190807"
113 , "3HSPJ011501.7-340027" , "5BZBJ0115-3400" , "01 15 01.72" , "-34 00 27.0" , "6.4" , "0.22" , "-11.6" , 1 , "4FGL J0114.9-3400" , "1.49" , "2WHSPJ011501.6-340027"
114 , "3HSPJ011533.4-030333" , "" , "01 15 33.35" , "-03 03 33.01" , "5.4" , "" , "-12.8?" , 0.06 , "" , "" , "2WHSPJ011533.3-030333"
115 , "3HSPJ011546.1+251953" , "5BZBJ0115+2519" , "01 15 46.14" , "+25 19 53.0" , "38.3" , "0.31" , "-11.7" , 0.79 , "4FGL J0115.8+2519" , "1.99" , "2WHSPJ011546.0+251953"
116 , "3HSPJ011555.5-274431" , "" , "01 15 55.45" , "-27 44 30.98" , "17.3" , "0.61" , "-11.9" , 0.5 , "4FGL J0116.0-2745" , "2.02" , "2WHSPJ011555.3-274430"
117 , "3HSPJ011637.1-281146" , "" , "01 16 37.06" , "-28 11 45.99" , "54.1" , "0.26" , "-12.2" , 0.25 , "4FGL J0116.5-2812" , "2.29" , "2WHSPJ011637.0-281145"
118 , "3HSPJ011724.4-222759" , "" , "01 17 24.37" , "-22 27 59.0" , "4.8" , "0.23" , "-12.3?" , 0.2 , "" , "" , "2WHSPJ011724.2-222759"
119 , "3HSPJ011747.0-244333" , "5BZBJ0117-2443" , "01 17 46.99" , "-24 43 32.98" , "10.3" , "0.46" , "-12.1" , 0.32 , "4FGL J0117.5-2442" , "1.75" , "2WHSPJ011746.9-244332"
120 , "3HSPJ011823.3+324325" , "" , "01 18 23.27" , "+32 43 24.99" , "21" , "" , "-12" , 0.4 , "" , "" , "2WHSPJ011823.2+324324"
121 , "3HSPJ011828.7-511527" , "" , "01 18 28.73" , "-51 15 27.0" , "" , "0.22" , "-12.3" , 0.2 , "" , "" , "2WHSPJ011828.6-511527"
122 , "3HSPJ011831.0-142957" , "" , "01 18 31.4" , "-14 29 57.01" , "29.6" , "0.28" , "-11.9" , 0.5 , "" , "" , "2WHSPJ011831.3-142957"
123 , "3HSPJ011904.6-145858" , "" , "01 19 04.61" , "-14 58 58.0" , "5.5" , "0.63" , "-11.7" , 0.79 , "4FGL J0119.0-1458" , "1.79" , "2WHSPJ011904.6-145858"
124 , "3HSPJ012048.0+212853" , "" , "01 20 48.3" , "+21 28 53.0" , "10.4" , "0.08" , "-12.5" , 0.13 , "" , "" , "2WHSPJ012048.3+212853"
125 , "3HSPJ012152.7-391544" , "" , "01 21 52.68" , "-39 15 43.99" , "17.1" , "0.07" , "-12" , 0.4 , "4FGL J0121.8-3916" , "1.8" , ""
126 , "3HSPJ012203.8-300509" , "" , "01 22 03.79" , "-30 05 08.98" , "" , "0.16" , "-12.1?" , 0.32 , "FL8Y J0122.1-3004" , "" , ""
127 , "3HSPJ012308.6+342048" , "5BZBJ0123+3420" , "01 23 08.63" , "+34 20 48.01" , "45.7" , "4.49" , "-10.8" , 6.31 , "4FGL J0123.1+3421" , "1.48" , "2WHSPJ012308.5+342048"
128 , "3HSPJ012338.3-231058" , "5BZBJ0123-2310" , "01 23 38.34" , "-23 10 58.0" , "27.6" , "2.13" , "-11.1" , 3.16 , "4FGL J0123.7-2311" , "1.99" , "2WHSPJ012338.2-231058"
129 , "3HSPJ012340.4+421017" , "5BZGJ0123+4210" , "01 23 40.38" , "+42 10 17.0" , "21.4" , "1.49" , "-11.7" , 0.79 , "" , "" , "2WHSPJ012340.3+421017"
130 , "3HSPJ012430.5+324946" , "5BZBJ0124+3249" , "01 24 30.54" , "+32 49 45.98" , "14.8" , "" , "-12?" , 0.4 , "" , "" , "2WHSPJ012430.4+324945"
131 , "3HSPJ012443.7-314342" , "" , "01 24 43.72" , "-31 43 41.98" , "13.5" , "0.22" , "-12.2" , 0.25 , "" , "" , "2WHSPJ012443.6-314341"
132 , "3HSPJ012523.1-292047" , "" , "01 25 23.5" , "-29 20 47.0" , "5.4" , "0.05" , "-12.5" , 0.13 , "" , "" , "2WHSPJ012523.5-292047"
133 , "3HSPJ012629.6-350505" , "" , "01 26 29.56" , "-35 05 04.99" , "5.7" , "" , "-12.5?" , 0.13 , "" , "" , "2WHSPJ012629.5-350504"
134 , "3HSPJ012652.2+003308" , "" , "01 26 52.16" , "+00 33 07.99" , "1.1" , "" , "-12.6" , 0.1 , "" , "" , "2WHSPJ012652.0+003307"
135 , "3HSPJ012657.2+330730" , "5BZBJ0126+3307" , "01 26 57.23" , "+33 07 30.0" , "7.1" , "0.98" , "-12.1" , 0.32 , "4FGL J0127.1+3310" , "2.27" , "2WHSPJ012657.1+330730"
136 , "3HSPJ012713.9+032300" , "" , "01 27 13.93" , "+03 22 59.98" , "16.1" , "0.56" , "-11.8" , 0.63 , "4FGL J0127.2+0324" , "1.9" , "2WHSPJ012713.9+032259"
137 , "3HSPJ012722.1+211442" , "" , "01 27 22.11" , "+21 14 42.0" , "10" , "0.12" , "-12.6" , 0.1 , "" , "" , "2WHSPJ012722.0+211442"
138 , "3HSPJ012750.8-001346" , "5BZBJ0127-0013" , "01 27 50.81" , "-00 13 45.98" , "8" , "" , "-12.7" , 0.08 , "" , "" , "2WHSPJ012750.8-001345"
139 , "3HSPJ012917.9-034402" , "" , "01 29 17.92" , "-03 44 02.0" , "4.1" , "0.34" , "-12.4" , 0.16 , "" , "" , "2WHSPJ012917.8-034402"
140 , "3HSPJ013025.7-212838" , "" , "01 30 25.73" , "-21 28 37.99" , "37.5" , "0.03" , "-12.2" , 0.25 , "4FGL J0130.4-2129" , "1.94" , ""
